nombre_obra,arquitecto,año_construccion,latitud,longitud,importancia,id,añadido_por,categoria,visitable,foto_url,enlace_url,estado_acceso
Sede del Tribunal Supremo de Justicia de la Comunidad Valenciana,Felipe Rubio y Mulet,,39.47180641209276,-0.3697117188575989,2,CTAV2589,CTAV,Edificio administrativo,false,https://arquitecturavalencia.es/img/comprimido/1546.jpg,https://guiactav.com/obra/2589,exterior_visible
Edificio Moontels Ruzafa,Francisco López Zarco,,39.467669740826736,-0.37521521683544595,1,CTAV2088,CTAV,"Hotel, Colegio Mayor",false,https://arquitecturavalencia.es/img/comprimido/609.jpg,https://guiactav.com/obra/2088,exterior_visible
Plaza de Toros,Sebastián Monleón Estellés,,39.46666361936632,-0.376128979367639,3,CTAV2563,CTAV,Plaza de toros,false,https://arquitecturavalencia.es/img/comprimido/1505.jpg,https://guiactav.com/obra/2563,exterior_visible
Edificio multiusos,"Julio Lacomba Boix, Ramón Esteve Cambra",,39.467855375542754,-0.3752826166670486,3,CTAV2092,CTAV,Oficina,false,https://arquitecturavalencia.es/img/comprimido/613.jpg,https://guiactav.com/obra/2092,exterior_visible
"Estaciones de Metrovalencia líneas L3, L4, L5 y L10","CB Arquitectes Associats, Carlos Meri Cucart, Lourdes García Sogo, Santiago Calatrava Valls, Mª José Bernabéu Valero (Grupo TYPSA)",,39.47363633482481,-0.36548465149358383,2,CTAV2154,CTAV,Transporte,false,https://arquitecturavalencia.es/img/comprimido/735.jpg,https://guiactav.com/obra/2154,exterior_visible
Edificio Carbajosa,Luis Albert Ballesteros,,39.467463143460236,-0.37578110750747706,3,CTAV2377,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1132.jpg,https://guiactav.com/obra/2377,exterior_visible
Edificio Vargues-Royo,Miguel Martínez Ortega,,39.46608150868944,-0.3768198855861986,1,CTAV2313,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1027.jpg,https://guiactav.com/obra/2313,exterior_visible
El Parterre,Sebastián Monleón Estellés,,39.471889813034835,-0.37058713536498045,3,CTAV2557,CTAV,Espacio público,false,https://arquitecturavalencia.es/img/comprimido/1497.jpg,https://guiactav.com/obra/2557,exterior_visible
Edificio Novedades,Rafael Tamarit Pitarch,,39.4682171159672,-0.3754229997327275,1,CTAV2195,CTAV,Edificio administrativo,false,https://arquitecturavalencia.es/img/comprimido/827.jpg,https://guiactav.com/obra/2195,exterior_visible
Edificio Pastor Fuertes,Javier Goerlich Lleó,,39.47424957511938,-0.36424656476440925,2,CTAV2301,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1010.jpg,https://guiactav.com/obra/2301,exterior_visible
Paseo de la Alameda,,,39.474207599129,-0.36479728016468355,3,CTAV2616,CTAV,Espacio público,false,https://arquitecturavalencia.es/img/comprimido/1584.jpg,https://guiactav.com/obra/2616,exterior_visible
Edificio Zaragozá-Riera,"Manuel Cervera Aranda, Javier Goerlich Lleó",,39.468368213589955,-0.3754870293039973,3,CTAV2296,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1002.jpg,https://guiactav.com/obra/2296,exterior_visible
Bankinter (Palacio de los Pescara),Peregrín Mustieles Cano,,39.47132435609747,-0.3719328813275812,2,CTAV2508,CTAV,Banco,false,https://arquitecturavalencia.es/img/comprimido/1423.jpg,https://guiactav.com/obra/2508,exterior_visible
Edificio multiusos (Antiguo Cine Capitol),Joaquín Rieta Síster,,39.46777156714047,-0.3761057441549886,1,CTAV2367,CTAV,Espacio cultural,false,https://arquitecturavalencia.es/img/comprimido/1108.jpg,https://guiactav.com/obra/2367,exterior_visible
La Glorieta,Manuel Serrano e Insa,,39.47272283579652,-0.3694514480586893,1,CTAV2577,CTAV,Espacio público,false,https://arquitecturavalencia.es/img/comprimido/1528.jpg,https://guiactav.com/obra/2577,exterior_visible
Edificio de oficinas (Sede Banco Sabadell),Francisco Almenar Quinzá,,39.469261824698165,-0.3746872774673604,2,CTAV2432,CTAV,Oficina,false,https://arquitecturavalencia.es/img/comprimido/1319.jpg,https://guiactav.com/obra/2432,exterior_visible
Edificio Villalba,Alfonso Garín Ortolá,,39.46758515626712,-0.37632628055922757,1,CTAV2335,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1068.jpg,https://guiactav.com/obra/2335,exterior_visible
Banco de Sabadell (Palacio de los Condes de Peñalva),,,39.47073250904554,-0.3731404037059001,1,CTAV2604,CTAV,Banco,false,https://arquitecturavalencia.es/img/comprimido/1566.jpg,https://guiactav.com/obra/2604,exterior_visible
Edificio Bigné,Demetrio Ribes Marco,,39.46948072050945,-0.37470410821857664,1,CTAV2436,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1323.jpg,https://guiactav.com/obra/2436,exterior_visible
Edificio Martínez Hueso,Juan José Estellés Ceba,,39.47312517841708,-0.36898169902087413,3,CTAV2199,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/837.jpg,https://guiactav.com/obra/2199,exterior_visible
Edificio Gómez-Trenor,Mauro Lleó Serret,,39.47030732373144,-0.3737645274759277,3,CTAV2203,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/841.jpg,https://guiactav.com/obra/2203,exterior_visible
Edificio Vizcaino,Cayetano Borso di Carminati González,,39.468700746928796,-0.37559706164880796,3,CTAV2315,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1033.jpg,https://guiactav.com/obra/2315,exterior_visible
Edificio Sede de Caixabank (Antiguo Banco de Valencia),"Javier Goerlich Lleó, Francisco Almenar Quinzá, Antonio Gómez Davó, Vicente Traver Tomás",,39.4705406257666,-0.37354688917781514,2,CTAV2343,CTAV,Banco,false,https://arquitecturavalencia.es/img/comprimido/1080.jpg,https://guiactav.com/obra/2343,exterior_visible
Estación del Norte,Demetrio Ribes Marco,,39.46686182797042,-0.3771818746517196,3,CTAV2463,CTAV,Transporte,false,https://arquitecturavalencia.es/img/comprimido/1369.jpg,https://guiactav.com/obra/2463,exterior_visible
Edificio Más,Manuel Cervera Aranda,,39.46838972575559,-0.37596176762792033,2,CTAV2316,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1035.jpg,https://guiactav.com/obra/2316,exterior_visible
Edificio Pascual I,Antonio Martorell Trilles,,39.46968191918125,-0.3747046133921445,2,CTAV2434,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1321.jpg,https://guiactav.com/obra/2434,exterior_visible
Edificio Rodríguez Fornos,Joaquín Rieta Síster,,39.472303231967956,-0.37099576159015873,2,CTAV2355,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1094.jpg,https://guiactav.com/obra/2355,exterior_visible
Banco Mediolanum (Antiguo Edificio Tarín II),Vicente Rodríguez Martín,,39.47026799720854,-0.3740526683484168,3,CTAV2433,CTAV,Banco,false,https://arquitecturavalencia.es/img/comprimido/1320.jpg,https://guiactav.com/obra/2433,exterior_visible
Edificio de la Unión y el Fénix,Enrique Viedma Vidal,,39.46775174625922,-0.3767078660072823,1,CTAV2370,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1114.jpg,https://guiactav.com/obra/2370,exterior_visible
Edificio Santo Tomás de Villanueva,Juan José Estellés Ceba,,39.471317470933904,-0.3728041682883751,1,CTAV2250,CTAV,Oficina,false,https://arquitecturavalencia.es/img/comprimido/922.jpg,https://guiactav.com/obra/2250,exterior_visible
Green Building (Antiguo Banco de Bilbao),"Francisco Hurtado de Saracho, Luis Albert Ballesteros",,39.47099129962796,-0.3734097034113041,1,CTAV2214,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/856.jpg,https://guiactav.com/obra/2214,exterior_visible
Banco de España,José de Astiz Bárcena,,39.47010647808233,-0.3746000877933675,2,CTAV2420,CTAV,Banco,false,https://arquitecturavalencia.es/img/comprimido/1194.jpg,https://guiactav.com/obra/2420,exterior_visible
Edificio Navarro Pérez,Javier Goerlich Lleó,,39.47298508400841,-0.3702244271793612,1,CTAV2374,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1127.jpg,https://guiactav.com/obra/2374,exterior_visible
Edificio Sales,"Julio Vila Liante, Juan E. Vernetta de los Santos, José I. Bedia Urbano",,39.47234524300528,-0.3715068323724355,2,CTAV2188,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/818.jpg,https://guiactav.com/obra/2188,exterior_visible
Palacio de Comunicaciones (Antiguo Edificio de Correos y Telégrafos) ,Miguel Ángel Navarro Pérez,,39.46948605632706,-0.37541850411533517,2,CTAV2417,CTAV,Edificio administrativo,false,https://arquitecturavalencia.es/img/comprimido/1190.jpg,https://guiactav.com/obra/2417,exterior_visible
Banco Bilbao Vizcaya Argentaria. BBVA (Antiguo Banco Exterior de España),Mariano Garrigues Díaz-Cañabate,,39.47076111786977,-0.37394672909549875,1,CTAV2249,CTAV,Banco,false,https://arquitecturavalencia.es/img/comprimido/921.jpg,https://guiactav.com/obra/2249,exterior_visible
Edificio Telefónica,"Santiago Esteban de Mora, Ignacio de Cárdenas Pastor",,39.46902789609501,-0.37594609355983816,3,CTAV2390,CTAV,Oficina,false,https://arquitecturavalencia.es/img/comprimido/1149.jpg,https://guiactav.com/obra/2390,exterior_visible
