nombre_obra,arquitecto,año_construccion,latitud,longitud,importancia,id,añadido_por,categoria,visitable,foto_url,enlace_url,estado_acceso
Betinatêxteis Lar,,1992,39.7611553,-8.8243741,3,Y10YP8QH8T96,OpenStreetMap,,True,,,exterior_visible
Instituto de Ciências Biomédicas Abel Salazar,Joaquim da Costa Lima Júnior;Baltazar da Silva Castro,,41.1473158,-8.6174266,3,WYMD020O59O5,OpenStreetMap,,True,Category:Escola Médico-Cirúrgica Abel Salazar,,exterior_visible
Torre do Batallón,,C12,42.77661,-7.4186888,3,I61OK4A1Z8G7,OpenStreetMap,,True,,,exterior_visible
Tablada,,1916,40.7056754,-4.1252723,3,5M3XF8DZ3V51,OpenStreetMap,,True,Category:Tablada_train_station,,exterior_visible
Capiella de La Purísima Concepción,,1871,43.5523016,-5.7879791,3,D9J3M2TH45O4,OpenStreetMap,,True,,,exterior_visible
San Cristóbal,,1998,40.0048465,-6.5551812,3,5GRQ433TC14X,OpenStreetMap,,True,,,exterior_visible
Tribunal Judicial da Comarca de Pinhel,José Eduardo Madeira,,40.7729456,-7.0680267,3,SRS6Z42E0B75,OpenStreetMap,,True,,,exterior_visible
Igreja Nossa Senhora da Guia,Lucínio Cruz,,39.235734,-9.3319114,3,AK544YS96ZZ3,OpenStreetMap,,True,Category:Igreja de Nossa Senhora da Guia (Atalaia),,exterior_visible
Estación de Autobuses de Sarria,,1989,42.7828858,-7.4142077,3,PH4T7869TEX4,OpenStreetMap,,True,,,exterior_visible
Santuário de Nossa Senhora da Peneda,,C19,41.9743659,-8.2230895,3,S2R67TQI1R93,OpenStreetMap,,True,,,exterior_visible
Câmara Municipal de Felgueiras,Januário Godinho,,41.3659879,-8.1979725,3,XRS66E769R2N,OpenStreetMap,,True,Category:Câmara Municipal de Felgueiras,,exterior_visible
Iglesia de San Miguel Arcángel,,1223,42.8489141,-3.6018827,3,777RD1EK6RU2,OpenStreetMap,,True,"Category:Iglesia de San Miguel Arcángel, Valdenoceda",,exterior_visible
Posto de Vigia Montesinho,,1957,41.9287081,-6.7571321,3,237LAF605NGY,OpenStreetMap,,True,,,exterior_visible
Casa do Juíz,,1910,40.3618745,-7.583934,3,T46Q140LOW9F,OpenStreetMap,,True,,,exterior_visible
Torre de Olmosalbos,Miguel de Osma;Martín Ochoa de Arteaga,1554,42.2368327,-3.6678186,3,66ZG17H70SGC,OpenStreetMap,,True,,,exterior_visible
Mausoleo a los soldados italianos,,1939-08-26,43.0400653,-3.8782679,3,0NVO5Y3A48M3,OpenStreetMap,,True,Category:Pyramid of Puerto del Escudo,,exterior_visible
Molino de viento,,1750,42.768463,-3.6492412,3,3N1X23E65HKD,OpenStreetMap,,True,,,exterior_visible
Albergue municipal San Lazaro,,1289,42.438211,-3.064776,3,784XX2U46PND,OpenStreetMap,,True,,,exterior_visible
San Nicolás de Bari,,C13,41.0897505,-4.9983937,3,3B2DJ5M08VH7,OpenStreetMap,,True,,,exterior_visible
Santa María del Castillo,,C12,41.0891376,-4.9998388,3,WR8WU9G821H8,OpenStreetMap,,True,,,exterior_visible
Casa de los Cordero,,C16,43.3418641,-3.6820068,3,4WX03YIQ3D29,OpenStreetMap,,True,,,exterior_visible
Casa Cañas,Manuel Bringas Camino,1966,43.3470571,-3.7009194,3,BO0YJE4504X9,OpenStreetMap,,True,,,exterior_visible
Palácio da Justiça de Santarém,Raul Rodrigues Lima,,39.2375101,-8.6877229,3,86I88JZB9K2Y,OpenStreetMap,,True,,,exterior_visible
Biblioteca Municipal de Ortigueira Juan Fernández Latorre,,1909,43.6866178,-7.851254,3,PQ4VZS57092H,OpenStreetMap,,True,,,exterior_visible
,Francisco de Solinís,,43.3525086,-3.7074024,3,9C05E9XX3KW9,OpenStreetMap,,True,,,exterior_visible
,Francisco de Solinís,1788-12-13,43.3509592,-3.7086611,3,U1P7332IYU1O,OpenStreetMap,,True,,,exterior_visible
Capela de Santo Estêvão,,1964-05-12,39.6185777,-8.6711637,3,U8ILF4531D4B,OpenStreetMap,,True,,,exterior_visible
Piscina Praia-Mar,José Isaías Cardoso,,40.1514375,-8.8665235,3,6T8M18C5X9TB,OpenStreetMap,,True,,,exterior_visible
,Luís Marçal Grilo,2002-06-01,40.1530886,-8.8607364,3,V79X13XMAH74,OpenStreetMap,,True,,,exterior_visible
,Adelino Nunes,,40.1495109,-8.8602669,3,43MH59MX9H1L,OpenStreetMap,,True,Category:Edifício dos CTT da Figueira da Foz,,exterior_visible
,OODA,,41.1476959,-8.6219638,3,H06M0NU27C8X,OpenStreetMap,,True,,,exterior_visible
Igreja de Santa Clara,,C15,41.142526,-8.6094506,3,363PQ8XIAT99,OpenStreetMap,,True,Category:Igreja de Santa Clara (Porto),,exterior_visible
Estación de Autobuses de Monterroso,,2009-01,42.7925708,-7.8377748,3,251FSX98UR1S,OpenStreetMap,,True,,,exterior_visible
Casa dos Sá Sotomaior,,1570,41.6932315,-8.8286105,3,7F9GRUT6636S,OpenStreetMap,,True,,,exterior_visible
Antiga Estación de Ordes-A Pontraga,,1943,43.0538368,-8.4470067,3,19U0QO7R1A5D,OpenStreetMap,,True,,,exterior_visible
Iglesia de San Martín de Cornejo,,C15,40.8879194,-5.0077859,3,7U18M48GC2VV,OpenStreetMap,,True,,,exterior_visible
Aproveitamento Hidroelétrico de Janeiro de Cima / Porto das Vacas,,4/1995,40.0773619,-7.7961393,3,JH0CK8317OB0,OpenStreetMap,,True,,,exterior_visible
Frontão dos Paços do Concelho,,C18,41.1462161,-8.6250684,3,66JY3SK9NU52,OpenStreetMap,,True,File:Porto (Portugal) (22441651965).jpg,,exterior_visible
Casa de Cantabria en Madrid,Carlos de Riaño,1991-11,40.413307,-3.6754426,3,L5K745PI0P1Y,OpenStreetMap,,True,"Category:Casa de Cantabria, Madrid",,exterior_visible
Talleres del Conde,,2026-07-17,43.301583,-5.690741,3,YN4JWP87T767,OpenStreetMap,,True,,,exterior_visible
Mercado de Pacífico,,1959,40.4044185,-3.6756706,3,W0L6A489JS0O,OpenStreetMap,,True,,,exterior_visible
Convento da Portela,Nicola Bigaglia (1902);Vasco Morais Palmeiro (1940),,39.7417935,-8.8111401,3,2A13X7L67CFZ,OpenStreetMap,,True,,,exterior_visible
Escola Superior de Artes e Design,Vítor Figueiredo,,39.3950698,-9.1362769,3,87FD8M449NUV,OpenStreetMap,,True,,,exterior_visible
Igrexa de San Mamede de Moldes,,C12,42.4168227,-8.1277395,3,10010JVUBFO7,OpenStreetMap,,True,,,exterior_visible
Igrexa de San Xulián de Astureses,,C12,42.445781,-8.1121628,3,741XD48TO6OQ,OpenStreetMap,,True,,,exterior_visible
Igrexa de San Martiño de Cameixa,,C12,42.4249685,-8.1600509,3,86P34DA2E7KK,OpenStreetMap,,True,,,exterior_visible
Iglesia de San Andrés,,C16,40.7173963,-3.9859803,3,124UJ7UML2U8,OpenStreetMap,,True,,,exterior_visible
